step,mloss,gloss,loss
161.0,2.392,1.0207,3.4127
162.0,2.3496,1.0,3.3496
163.0,2.4036,1.0035,3.4071
164.0,2.3692,1.0038,3.373
165.0,2.4783,1.0021,3.4804
166.0,2.363,1.0137,3.3767
167.0,2.4,1.02,3.42
168.0,2.3893,1.0071,3.3964
169.0,2.5296,1.001,3.5305999999999997
170.0,2.3368,0.9751,3.3119
171.0,2.4262,1.011,3.4372
172.0,2.5448,0.9952,3.54
173.0,2.4938,1.005,3.4987999999999997
174.0,2.5038,1.0034,3.5072
175.0,2.4976,0.9966,3.4941999999999998
176.0,2.404,1.0121,3.4161
177.0,2.4039,0.9946,3.3985000000000003
178.0,2.3194,0.9857,3.3051
179.0,2.3226,1.0108,3.3334
180.0,2.3866,0.9972,3.3838
181.0,2.4024,1.0007,3.4031000000000002
182.0,2.4079,0.9986,3.4065000000000003
183.0,2.2949,0.9911,3.286
184.0,2.4054,0.9964,3.4018
185.0,2.355,0.9941,3.3491
186.0,2.4077,0.987,3.3947000000000003
187.0,2.4246,1.0042,3.4288
188.0,2.4133,0.9891,3.4024
189.0,2.3195,0.9952,3.3147
190.0,2.2722,1.0056,3.2778
191.0,2.3289,1.0174,3.3463000000000003
192.0,2.463,1.0163,3.4793000000000003
193.0,2.3079,0.9917,3.2996
194.0,2.3258,1.0118,3.3376
195.0,2.3608,0.9995,3.3602999999999996
196.0,2.4209,0.9963,3.4172000000000002
197.0,2.3634,1.0042,3.3676
198.0,2.4322,1.0019,3.4341
199.0,2.377,0.9935,3.3705
200.0,2.6536,0.9749,3.6285
201.0,2.3758,1.0063,3.3821
202.0,2.289,0.9937,3.2827
203.0,2.32,0.984,3.304
204.0,2.4169,0.9893,3.4062
205.0,2.459,0.9845,3.4435000000000002
206.0,2.3947,1.0021,3.3968
207.0,2.4308,1.0063,3.4371
208.0,2.4503,0.9989,3.4492
209.0,2.3322,1.0023,3.3345
210.0,2.6145,0.9792,3.5937
211.0,2.3642,1.0068,3.3709999999999996
212.0,2.3351,0.9908,3.3259000000000003
213.0,2.3248,1.0067,3.3315
214.0,2.2824,0.9935,3.2759
215.0,2.3591,0.9856,3.3447000000000005
216.0,2.3649,0.9854,3.3503
217.0,2.3837,0.9942,3.3779000000000003
218.0,2.351,1.0134,3.3644
219.0,2.4604,1.0064,3.4668
220.0,2.497,1.0056,3.5026
221.0,2.4386,0.9962,3.4348
222.0,2.3637,1.005,3.3687
223.0,2.4562,0.9996,3.4558
224.0,2.3902,1.0026,3.3928000000000003
225.0,2.3853,0.9859,3.3712
226.0,2.3326,0.9878,3.3204
227.0,2.397,1.0028,3.3998
228.0,2.2828,1.0081,3.2908999999999997
229.0,2.397,1.0029,3.3998999999999997
230.0,2.4421,1.0423,3.4844
231.0,2.4276,0.9954,3.423
232.0,2.3907,1.008,3.3987
233.0,2.393,1.0141,3.4071
234.0,2.3163,1.008,3.3243
235.0,2.3911,0.9966,3.3876999999999997
236.0,2.3696,1.0087,3.3783000000000003
237.0,2.2877,0.9868,3.2745
238.0,2.412,1.0143,3.4263
239.0,2.3942,0.9891,3.3833
240.0,2.5317,1.0357,3.5674
241.0,2.3814,1.0009,3.3823
242.0,2.3486,1.0025,3.3510999999999997
243.0,2.2328,0.9947,3.2275
244.0,2.3802,0.9918,3.372
245.0,2.4834,1.0067,3.4901
246.0,2.3915,1.0058,3.3973000000000004
247.0,2.3639,0.9879,3.3518
248.0,2.3772,0.9998,3.3770000000000002
249.0,2.5238,1.0183,3.5421
250.0,2.3715,1.0027,3.3742
251.0,2.2926,1.0003,3.2929000000000004
252.0,2.4793,1.0053,3.4846
253.0,2.4324,1.0038,3.4362
254.0,2.4525,0.9988,3.4513000000000003
255.0,2.3762,1.0061,3.3823
256.0,2.4071,1.0167,3.4238
257.0,2.3335,1.0057,3.3392
258.0,2.372,1.0013,3.3733
259.0,2.3259,1.0009,3.3267999999999995
260.0,2.4979,0.9987,3.4966
261.0,2.3677,1.0181,3.3858
262.0,2.3094,0.9845,3.2939000000000003
263.0,2.4509,1.0107,3.4616
264.0,2.6073,0.9907,3.598
265.0,2.3494,1.0154,3.3648000000000002
266.0,2.5109,0.9864,3.4973
267.0,2.3473,1.0034,3.3507000000000002
268.0,2.3628,1.0026,3.3654
269.0,3.0025,0.9848,3.9873
270.0,2.4497,0.9899,3.4396
271.0,2.4726,0.9953,3.4678999999999998
272.0,2.4603,1.0045,3.4648000000000003
273.0,2.4215,1.01,3.4314999999999998
274.0,2.5185,1.0108,3.5293
275.0,2.478,0.989,3.467
276.0,2.4089,0.9927,3.4016
277.0,2.3843,0.9819,3.3662
278.0,2.4381,0.9994,3.4375
279.0,2.3285,1.0072,3.3357
280.0,2.4272,1.0082,3.4354
281.0,2.3631,0.9875,3.3506
282.0,2.5044,0.9993,3.5037
283.0,2.4849,1.0054,3.4903000000000004
284.0,2.3612,1.0014,3.3626000000000005
285.0,2.3977,0.9992,3.3969
